Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:01:48,61,0.01,0.07385,0.0433,0.07385,0.02092,0.1799,0.1284,0.01,0.07336,0.1454,0.02278,0.02092,0.181,0.129,0.0495,0.01523,0.007233,0.1072,0.0831,0.3125,0.4226,0.008835,0.004543,0.03723,0.04105,0.04532,0.04153,0.05786,0.05618,0.1365,0.1282,0.0406,0.04984,0.1163,0.01,0.03625,0.03903,0.1526,0.155,0.02147,0.0214,0.0481,0.04843,0.2827,0.1875,0.1864,0.05746,0.0916,0.0878,0.0943,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:50,61,0.01,0.0839,0.04062,0.0876,0.0073,0.1704,0.1116,0.01,0.08344,0.1578,0.02068,0.007202,0.1727,0.1124,0.0504,0.01717,0.00818,0.10406,0.0722,0.3926,0.261,0.00794,0.004887,0.0332,0.03217,0.03964,0.03586,0.0523,0.05005,0.142,0.1326,0.04037,0.0394,0.1148,0.01,0.03937,0.042,0.1827,0.1844,0.0366,0.03528,0.07275,0.0737,0.257,0.1692,0.1682,0.03882,0.09015,0.08856,0.0968,0.09235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:52,61,0.01,0.0801,0.04797,0.08514,0.0135,0.1781,0.10114,0.01,0.0797,0.1517,0.02364,0.01338,0.1809,0.1022,0.05417,0.02423,0.005043,0.1137,0.0656,0.3892,0.2047,0.008125,0.003878,0.03848,0.03888,0.0369,0.03574,0.05518,0.05286,0.1384,0.1299,0.03595,0.03668,0.10077,0.01,0.03824,0.0408,0.2053,0.2083,0.06107,0.0624,0.0845,0.0854,0.2421,0.1512,0.1505,0.02681,0.0979,0.0984,0.10223,0.09985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:54,61,0.01,0.0756,0.05206,0.08734,0.02763,0.1976,0.1113,0.01,0.0754,0.154,0.02756,0.02754,0.2006,0.11237,0.05472,0.0245,0.00427,0.11163,0.07025,0.3323,0.1836,0.01309,0.0008764,0.0465,0.05014,0.03845,0.0369,0.05692,0.05444,0.1378,0.1299,0.03693,0.04675,0.0844,0.01,0.03314,0.03595,0.2001,0.2029,0.04993,0.05206,0.0684,0.0694,0.2585,0.1677,0.1671,0.0293,0.0941,0.0968,0.0985,0.09863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:56,61,0.01,0.06635,0.05194,0.09174,0.04544,0.2124,0.1384,0.01,0.06604,0.162,0.03088,0.04547,0.2158,0.1395,0.05283,0.01958,0.004475,0.1037,0.0762,0.2406,0.184,0.01797,0.0,0.0782,0.0822,0.03586,0.03226,0.0607,0.05624,0.1348,0.1252,0.04166,0.06445,0.07245,0.01,0.02635,0.02966,0.1794,0.1797,0.02664,0.02791,0.02493,0.02596,0.3074,0.2115,0.2108,0.0365,0.08356,0.0866,0.08453,0.08417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:01:58,61,0.01,0.04926,0.05826,0.0844,0.067,0.2424,0.1667,0.01,0.04895,0.1566,0.0377,0.06714,0.2451,0.168,0.05524,0.01794,0.00488,0.12024,0.11475,0.177,0.2482,0.01433,0.0,0.0887,0.09015,0.04108,0.03772,0.06805,0.06207,0.1337,0.1231,0.05276,0.0792,0.072,0.01,0.02435,0.0277,0.1692,0.169,0.02136,0.02127,0.01314,0.013664,0.3335,0.2222,0.2213,0.0463,0.0887,0.08936,0.0765,0.0723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:00,61,0.01,0.04593,0.05402,0.07263,0.0695,0.2537,0.1617,0.01,0.04565,0.1443,0.0322,0.06964,0.2559,0.1628,0.05768,0.01596,0.003704,0.1342,0.133,0.1761,0.2783,0.01517,0.0006814,0.0848,0.08655,0.03564,0.03186,0.0699,0.0642,0.1338,0.12366,0.05582,0.0818,0.07,0.01,0.02702,0.02994,0.1615,0.1616,0.01533,0.015114,0.011345,0.01178,0.3235,0.215,0.2141,0.04904,0.09863,0.09863,0.08453,0.0796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:02,61,0.01,0.04974,0.04044,0.07446,0.06506,0.254,0.1501,0.01,0.0494,0.1489,0.0215,0.06506,0.2566,0.1515,0.05743,0.01657,0.003983,0.1334,0.12085,0.2018,0.2627,0.01288,9.894e-05,0.0892,0.09186,0.02959,0.02568,0.071,0.0661,0.1361,0.127,0.0505,0.0745,0.0704,0.01,0.02708,0.03027,0.1675,0.168,0.009056,0.01068,0.01163,0.012146,0.3271,0.223,0.222,0.04382,0.10315,0.10394,0.08984,0.0854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:04,61,0.01,0.0523,0.03275,0.06384,0.05988,0.2373,0.15,0.01,0.05197,0.1422,0.01764,0.05994,0.2394,0.151,0.05872,0.01886,0.006622,0.11755,0.0821,0.2372,0.1431,0.01027,0.0,0.0863,0.0917,0.01987,0.01692,0.0636,0.06003,0.1403,0.1313,0.04428,0.0685,0.0635,0.01,0.02649,0.02946,0.2031,0.206,0.01756,0.01964,0.014114,0.01491,0.3442,0.2239,0.2227,0.0335,0.1001,0.1032,0.08575,0.08167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:06,61,0.01,0.05722,0.03354,0.04813,0.05627,0.2183,0.1263,0.01,0.057,0.1231,0.0133,0.05634,0.2198,0.1271,0.05875,0.0217,0.007812,0.11725,0.0636,0.21,0.0881,0.006653,0.001666,0.09106,0.09753,0.01073,0.01032,0.06226,0.05966,0.1332,0.1255,0.04077,0.05933,0.0617,0.01,0.02846,0.0308,0.2466,0.252,0.04453,0.04605,0.02692,0.0273,0.3328,0.1923,0.1912,0.0244,0.1137,0.1158,0.09155,0.08844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:02:08,61,0.01,0.05438,0.03108,0.03638,0.04703,0.2019,0.10565,0.01,0.0542,0.1111,0.008965,0.0471,0.2031,0.1062,0.05923,0.03021,0.00671,0.1339,0.0625,0.1877,0.0694,0.006207,0.003366,0.12256,0.1226,0.005882,0.00724,0.06235,0.05963,0.126,0.1194,0.04245,0.05856,0.06235,0.01,0.03036,0.0322,0.2969,0.3037,0.0653,0.0635,0.03253,0.03278,0.3225,0.1637,0.1627,0.01962,0.1301,0.1305,0.09454,0.0892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
